Date,Region, Median.Sales.Price ,Homes.Sold,New.Listings,Inventory,Days.on.Market,Average.Sale.To.List,Unrate,T10Y,M30Y, UMCSENT , Sold.Inventory.Ratio ,Market.Type
15-Mar,"Los Angeles, CA metro area",480000,6115,8618,15292,36,99.1,5.4,1.4,3.77,93,39.99,Seller
15-Apr,"Los Angeles, CA metro area",495000,6684,9030,15960,34,99.4,5.4,1.4,3.67,95.9,41.88,Seller
15-May,"Los Angeles, CA metro area",494000,6712,8690,16461,33,99.7,5.6,1.59,3.84,90.7,40.78,Seller
15-Jun,"Los Angeles, CA metro area",507000,7538,9385,17113,30,99.7,5.3,1.68,3.98,96.1,44.05,Seller
15-Jul,"Los Angeles, CA metro area",505000,7593,9287,17625,31,99.6,5.2,1.66,4.05,93.1,43.08,Seller
15-Aug,"Los Angeles, CA metro area",510000,6878,8501,17647,32,99.6,5.1,1.47,3.91,91.9,38.98,Seller
15-Sep,"Los Angeles, CA metro area",499000,6651,7841,17370,34,99.4,5,1.46,3.89,87.2,38.29,Seller
15-Oct,"Los Angeles, CA metro area",499000,6472,7615,16673,35,99.3,5,1.43,3.8,90,38.82,Seller
15-Nov,"Los Angeles, CA metro area",496000,4906,5882,15477,38,99.2,5.1,1.38,3.94,91.3,31.7,Seller
15-Dec,"Los Angeles, CA metro area",510000,6565,4365,13110,39,99,5,1.26,3.96,92.6,50.08,Seller
16-Jan,"Los Angeles, CA metro area",500000,4682,7062,14312,44,98.9,4.8,1.19,3.87,92,32.71,Seller
16-Feb,"Los Angeles, CA metro area",500000,4473,7628,15003,45,98.9,4.9,1.05,3.66,91.7,29.81,Seller
16-Mar,"Los Angeles, CA metro area",518000,6179,8749,15556,37,99.5,5,1.01,3.69,91,39.72,Seller
16-Apr,"Los Angeles, CA metro area",530000,6444,8899,16224,35,99.6,5.1,1.04,3.61,89,39.72,Seller
16-May,"Los Angeles, CA metro area",540000,6747,8780,16721,35,99.7,4.8,0.99,3.6,94.7,40.35,Seller
16-Jun,"Los Angeles, CA metro area",540000,7496,9463,17603,34,99.9,4.9,0.91,3.57,93.5,42.58,Seller
16-Jul,"Los Angeles, CA metro area",540000,6756,9151,18601,34,99.7,4.8,0.83,3.44,90,36.32,Seller
16-Aug,"Los Angeles, CA metro area",545000,7158,9301,19285,36,99.7,4.9,0.82,3.44,89.8,37.12,Seller
16-Sep,"Los Angeles, CA metro area",535000,6790,8867,19635,39,99.5,5,0.86,3.46,91.2,34.58,Seller
16-Oct,"Los Angeles, CA metro area",540000,6210,7257,18933,40,99.2,4.9,0.92,3.47,87.2,32.8,Seller
16-Nov,"Los Angeles, CA metro area",545000,6047,5752,17404,42,99.2,4.7,1.16,3.77,93.8,34.74,Seller
16-Dec,"Los Angeles, CA metro area",535000,6337,3870,14483,49,99.1,4.7,1.3,4.2,98.2,43.75,Seller
17-Jan,"Los Angeles, CA metro area",540000,4813,6643,14857,53,99,4.7,1.23,4.15,98.5,32.4,Seller
17-Feb,"Los Angeles, CA metro area",540000,4535,6626,15067,53,99.1,4.6,1.22,4.17,96.3,30.1,Seller
17-Mar,"Los Angeles, CA metro area",555000,6614,9021,15920,42,99.5,4.4,1.17,4.2,96.9,41.55,Seller
17-Apr,"Los Angeles, CA metro area",560000,5952,8421,16676,37,100.1,4.4,1.06,4.05,97,35.69,Seller
17-May,"Los Angeles, CA metro area",578000,7107,9163,17086,36,100.1,4.4,1,4.01,97.1,41.6,Seller
17-Jun,"Los Angeles, CA metro area",586000,8030,9010,17469,35,100.2,4.3,0.84,3.9,95,45.97,Seller
17-Jul,"Los Angeles, CA metro area",590000,6494,8419,17944,37,100.2,4.3,0.95,3.97,93.4,36.19,Seller
17-Aug,"Los Angeles, CA metro area",590000,7566,8195,17324,38,100.1,4.4,0.87,3.88,96.8,43.67,Seller
17-Sep,"Los Angeles, CA metro area",589000,6598,7436,17073,41,99.9,4.3,0.82,3.81,95.1,38.65,Seller
17-Oct,"Los Angeles, CA metro area",577000,6344,7007,16222,41,99.8,4.2,0.81,3.9,100.7,39.11,Seller
17-Nov,"Los Angeles, CA metro area",589000,5982,5642,14618,41,100,4.2,0.66,3.92,98.5,40.92,Seller
17-Dec,"Los Angeles, CA metro area",585000,5992,3605,11972,44,99.7,4.1,0.56,3.95,95.9,50.05,Seller
18-Jan,"Los Angeles, CA metro area",575000,4484,7006,13165,47,99.5,4,0.55,4.03,95.7,34.06,Seller
18-Feb,"Los Angeles, CA metro area",595000,4360,7399,14358,41,99.9,4.1,0.68,4.33,99.7,30.37,Seller
18-Mar,"Los Angeles, CA metro area",602000,6397,8072,14757,36,100.3,4,0.57,4.44,101.4,43.35,Seller
18-Apr,"Los Angeles, CA metro area",610000,6046,8723,16008,34,100.4,4,0.48,4.47,98.8,37.77,Seller
18-May,"Los Angeles, CA metro area",630000,6728,8992,16907,34,100.4,3.8,0.47,4.59,98,39.79,Seller
18-Jun,"Los Angeles, CA metro area",634000,7066,8880,17795,36,100.3,4,0.38,4.57,98.2,39.71,Seller
18-Jul,"Los Angeles, CA metro area",627000,6546,8475,18498,36,100.1,3.8,0.28,4.53,97.9,35.39,Seller
18-Aug,"Los Angeles, CA metro area",628000,6974,8462,18899,38,100,3.8,0.25,4.55,96.2,36.9,Seller
18-Sep,"Los Angeles, CA metro area",615000,5236,7484,19582,41,99.6,3.7,0.24,4.63,100.1,26.74,Seller
18-Oct,"Los Angeles, CA metro area",613000,5881,7690,19806,44,99.4,3.8,0.29,4.83,98.6,29.69,Seller
18-Nov,"Los Angeles, CA metro area",622000,5093,5897,18803,45,99.1,3.8,0.26,4.87,97.5,27.09,Seller
18-Dec,"Los Angeles, CA metro area",600000,4897,3486,16124,50,98.9,3.9,0.16,4.64,98.3,30.37,Seller
19-Jan,"Los Angeles, CA metro area",592000,3832,6869,17374,58,98.5,4,0.17,4.46,91.2,22.06,Seller
19-Feb,"Los Angeles, CA metro area",600000,3903,6371,18172,59,98.8,3.8,0.17,4.37,93.8,21.48,Seller
19-Mar,"Los Angeles, CA metro area",620000,5388,7788,18659,51,99,3.8,0.16,4.27,98.4,28.88,Seller
19-Apr,"Los Angeles, CA metro area",626000,6042,8314,19275,48,99.3,3.7,0.19,4.14,97.2,31.35,Seller
19-May,"Los Angeles, CA metro area",626000,6633,8835,19835,45,99.5,3.6,0.19,4.07,100,33.44,Seller
19-Jun,"Los Angeles, CA metro area",635000,6337,7958,20048,45,99.6,3.6,0.26,3.8,98.2,31.61,Seller
19-Jul,"Los Angeles, CA metro area",650000,6561,8001,19868,46,99.4,3.7,0.22,3.77,98.4,33.02,Seller
19-Aug,"Los Angeles, CA metro area",635000,6658,7461,19013,47,99.4,3.6,0.06,3.62,89.8,35.02,Seller
19-Sep,"Los Angeles, CA metro area",640000,5806,7217,18819,49,99.4,3.5,0.05,3.61,93.2,30.85,Seller
19-Oct,"Los Angeles, CA metro area",641000,6252,6866,17762,49,99.4,3.6,0.16,3.69,95.5,35.2,Seller
19-Nov,"Los Angeles, CA metro area",639000,5513,4944,15843,48,99.5,3.6,0.2,3.7,96.8,34.8,Seller
19-Dec,"Los Angeles, CA metro area",650000,5749,3317,12135,53,99.3,3.6,0.25,3.72,99.3,47.38,Seller
20-Jan,"Los Angeles, CA metro area",635000,4531,6287,12804,58,99.2,3.6,0.24,3.62,99.8,35.39,Seller
20-Feb,"Los Angeles, CA metro area",636000,4386,6676,13605,48,99.6,3.5,0.17,3.47,101,32.24,Seller
20-Mar,"Los Angeles, CA metro area",660000,5194,6182,13620,41,100.2,4.4,0.42,3.45,89.1,38.14,Seller
20-Apr,"Los Angeles, CA metro area",650000,3835,4383,13574,38,100,14.8,0.43,3.31,71.8,28.25,Seller
20-May,"Los Angeles, CA metro area",635000,3156,6381,14903,44,99.2,13.2,0.5,3.23,72.3,21.18,Seller
20-Jun,"Los Angeles, CA metro area",655000,4621,7275,15532,42,99.3,11,0.54,3.16,78.1,29.75,Seller
20-Jul,"Los Angeles, CA metro area",700000,6240,8499,15952,42,99.9,10.2,0.48,3.02,72.5,39.12,Seller
20-Aug,"Los Angeles, CA metro area",710000,6305,8332,16263,40,100.2,8.4,0.51,2.94,74.1,38.77,Seller
20-Sep,"Los Angeles, CA metro area",730000,6720,8496,16463,39,100.7,7.8,0.54,2.89,80.4,40.82,Seller
20-Oct,"Los Angeles, CA metro area",735000,6989,8629,16686,37,101,6.8,0.64,2.83,81.8,41.89,Seller
20-Nov,"Los Angeles, CA metro area",719000,6142,6059,15328,38,101,6.7,0.7,2.77,76.9,40.07,Seller
20-Dec,"Los Angeles, CA metro area",730000,7165,4748,12464,40,100.9,6.7,0.8,2.68,80.7,57.49,Seller
21-Jan,"Los Angeles, CA metro area",721000,5192,6350,12369,43,100.8,6.4,0.95,2.74,79,41.98,Seller
21-Feb,"Los Angeles, CA metro area",745000,5040,7023,12506,41,101.1,6.2,1.14,2.81,76.8,40.3,Seller
21-Mar,"Los Angeles, CA metro area",775000,7127,8576,12656,35,102,6.1,1.46,3.08,84.9,56.31,Seller
21-Apr,"Los Angeles, CA metro area",793000,7508,8399,12896,33,102.9,6.1,1.47,3.06,88.3,58.22,Seller
21-May,"Los Angeles, CA metro area",812000,7043,8306,13166,31,103.4,5.8,1.47,2.96,82.9,53.49,Seller
21-Jun,"Los Angeles, CA metro area",828000,7727,8769,13401,31,103.7,5.9,1.32,2.98,85.5,57.66,Seller
21-Jul,"Los Angeles, CA metro area",821000,7343,8959,14193,31,103.5,5.4,1.1,2.87,81.2,51.74,Seller
21-Aug,"Los Angeles, CA metro area",825000,7045,8046,14046,32,103.2,5.1,1.07,2.84,70.3,50.16,Seller
21-Sep,"Los Angeles, CA metro area",820000,6984,7728,13649,34,102.6,4.7,1.13,2.9,72.8,51.17,Seller
21-Oct,"Los Angeles, CA metro area",810000,6803,7237,12999,34,102.5,4.5,1.19,3.07,71.7,52.33,Seller
21-Nov,"Los Angeles, CA metro area",820000,6536,5569,11226,34,102.5,4.1,1.05,3.07,67.4,58.22,Seller
21-Dec,"Los Angeles, CA metro area",840000,6848,3886,8476,36,102.4,3.9,0.79,3.1,70.6,80.79,Seller
22-Jan,"Los Angeles, CA metro area",825000,4827,5895,8873,39,102.3,4,0.78,3.45,67.2,54.4,Seller
22-Feb,"Los Angeles, CA metro area",840000,4691,6638,9604,32,103.5,3.8,0.5,3.76,62.8,48.84,Seller
22-Mar,"Los Angeles, CA metro area",875000,6593,7848,10114,28,104.8,3.6,0.22,4.17,59.4,65.19,Seller
22-Apr,"Los Angeles, CA metro area",900000,6358,7833,11081,27,105.3,3.7,0.21,4.98,65.2,57.38,Seller
22-May,"Los Angeles, CA metro area",900000,6004,7980,12366,27,105,3.6,0.28,5.23,58.4,48.55,Seller
22-Jun,"Los Angeles, CA metro area",890000,6122,8323,14146,29,103.7,3.6,0.15,5.52,50,43.28,Seller
22-Jul,"Los Angeles, CA metro area",861000,4969,7187,15318,34,102,3.5,-0.14,5.41,51.5,32.44,Seller
22-Aug,"Los Angeles, CA metro area",845000,5107,6512,15205,38,100.4,3.6,-0.35,5.22,58.2,33.59,Seller
22-Sep,"Los Angeles, CA metro area",840000,4833,5786,15019,43,99.6,3.5,-0.34,6.11,58.6,32.18,Seller
22-Oct,"Los Angeles, CA metro area",825000,4156,5260,14597,44,99.5,3.6,-0.39,6.9,59.9,28.47,Seller
22-Nov,"Los Angeles, CA metro area",810000,3709,3992,13483,47,98.9,3.6,-0.61,6.81,56.7,27.51,Seller
22-Dec,"Los Angeles, CA metro area",798000,3611,2530,11074,51,98.5,3.5,-0.67,6.36,59.8,32.61,Seller
23-Jan,"Los Angeles, CA metro area",799000,2853,4170,11027,60,98.4,3.4,-0.68,6.27,64.9,25.87,Seller
23-Feb,"Los Angeles, CA metro area",795000,3072,4232,10757,57,98.8,3.6,-0.79,6.26,66.9,28.56,Seller
23-Mar,"Los Angeles, CA metro area",820000,4481,5266,10485,44,99.7,3.5,-0.64,6.54,62,42.74,Seller
23-Apr,"Los Angeles, CA metro area",829000,3933,5025,10406,38,100.5,3.4,-0.56,6.34,63.7,37.8,Seller
23-May,"Los Angeles, CA metro area",843000,4685,5797,10678,34,101.1,3.7,-0.56,6.43,59,43.88,Seller
23-Jun,"Los Angeles, CA metro area",861000,4862,5815,10876,34,101.4,3.6,-0.89,6.71,64.2,44.7,Seller
23-Jul,"Los Angeles, CA metro area",860000,4102,5407,11283,32,101.7,3.5,-0.93,6.84,71.5,36.36,Seller
23-Aug,"Los Angeles, CA metro area",867000,4649,5413,11273,34,101.6,3.8,-0.73,7.07,69.4,41.24,Seller
23-Sep,"Los Angeles, CA metro area",870000,3891,5198,11688,36,101,3.8,-0.64,7.2,67.8,33.29,Seller
23-Oct,"Los Angeles, CA metro area",880000,3926,5336,12060,37,100.7,3.8,-0.27,7.62,63.8,32.55,Seller
23-Nov,"Los Angeles, CA metro area",875000,3517,4212,11488,38,100.5,3.7,-0.38,7.44,61.3,30.61,Seller
23-Dec,"Los Angeles, CA metro area",850000,3551,2646,9618,42,100,3.7,-0.44,6.82,69.7,36.92,Seller
24-Jan,"Los Angeles, CA metro area",840000,3062,4934,10341,50,99.6,3.7,-0.26,6.64,79,29.61,Seller
24-Feb,"Los Angeles, CA metro area",875000,3308,5015,10770,43,100.4,3.9,-0.34,6.78,76.9,30.71,Seller
24-Mar,"Los Angeles, CA metro area",877000,4073,5422,10953,37,100.8,3.8,-0.38,6.82,79.4,37.19,Seller
24-Apr,"Los Angeles, CA metro area",900000,4445,6433,11724,35,101.3,3.9,-0.33,6.99,77.2,37.91,Seller
24-May,"Los Angeles, CA metro area",908000,4754,6644,12081,35,101.3,4,-0.37,7.06,69.1,39.35,Seller
12-Jan,"Philadelphia, PA metro area",134000,973,2105,10284,88,92.4,8.3,1.73,3.92,75,9.46,Buyer
12-Feb,"Philadelphia, PA metro area",135000,990,2421,10550,93,92.1,8.3,1.69,3.89,75.3,9.38,Buyer
12-Mar,"Philadelphia, PA metro area",138000,1326,2937,10617,94,93.3,8.2,1.83,3.95,76.2,12.49,Buyer
12-Apr,"Philadelphia, PA metro area",153000,1353,2659,10742,74,94.2,8.2,1.76,3.91,76.4,12.6,Buyer
12-May,"Philadelphia, PA metro area",167000,1646,2582,10710,64,94.5,8.2,1.52,3.8,79.3,15.37,Equilibrium
12-Jun,"Philadelphia, PA metro area",175000,1669,2344,10487,54,94.8,8.2,1.33,3.68,73.2,15.91,Equilibrium
12-Jul,"Philadelphia, PA metro area",170000,1563,2294,10267,59,94.4,8.2,1.28,3.55,72.3,15.22,Equilibrium
12-Aug,"Philadelphia, PA metro area",165000,1660,2319,10206,68,94.4,8.1,1.41,3.6,74.3,16.26,Equilibrium
12-Sep,"Philadelphia, PA metro area",150000,1304,2315,10362,72,93.8,7.8,1.47,3.5,78.3,12.58,Buyer
12-Oct,"Philadelphia, PA metro area",150000,1262,2185,10092,66,94,7.8,1.47,3.38,82.6,12.5,Buyer
12-Nov,"Philadelphia, PA metro area",150000,1431,1625,9593,69,93.6,7.7,1.39,3.35,82.7,14.92,Buyer
12-Dec,"Philadelphia, PA metro area",152000,1441,1214,8635,69,93.9,7.9,1.46,3.35,72.9,16.69,Equilibrium
13-Jan,"Philadelphia, PA metro area",136000,1196,2295,8682,77,93.5,8,1.65,3.41,73.8,13.78,Buyer
13-Feb,"Philadelphia, PA metro area",140000,1148,2347,8816,88,93.4,7.7,1.72,3.53,77.6,13.02,Buyer
13-Mar,"Philadelphia, PA metro area",155000,1401,2899,9010,80,94.3,7.5,1.7,3.57,78.6,15.55,Equilibrium
13-Apr,"Philadelphia, PA metro area",146000,1645,3202,9509,56,94.8,7.6,1.53,3.45,76.4,17.3,Equilibrium
13-May,"Philadelphia, PA metro area",170000,1989,2883,9752,46,95.2,7.5,1.68,3.54,84.5,20.4,Seller
13-Jun,"Philadelphia, PA metro area",185000,2013,2467,9738,43,95.6,7.5,1.97,4.07,84.1,20.67,Seller
13-Jul,"Philadelphia, PA metro area",175000,1869,2626,9807,46,95.2,7.3,2.24,4.37,85.1,19.06,Equilibrium
13-Aug,"Philadelphia, PA metro area",170000,1852,2272,9650,52,95.1,7.2,2.38,4.46,82.1,19.19,Equilibrium
13-Sep,"Philadelphia, PA metro area",156000,1581,2512,9838,56,94.9,7.2,2.41,4.49,77.5,16.07,Equilibrium
13-Oct,"Philadelphia, PA metro area",150000,1535,2394,9636,57,94.4,7.2,2.28,4.19,73.2,15.93,Equilibrium
13-Nov,"Philadelphia, PA metro area",152000,1369,1778,9214,57,94.3,6.9,2.41,4.26,75.1,14.86,Buyer
13-Dec,"Philadelphia, PA metro area",152000,1513,1257,8266,66,94.3,6.7,2.56,4.46,82.5,18.3,Equilibrium
14-Jan,"Philadelphia, PA metro area",148000,1154,1961,8175,63,93.9,6.6,2.46,4.43,81.2,14.12,Buyer
14-Feb,"Philadelphia, PA metro area",144000,980,1968,8204,76,93.9,6.7,2.38,4.3,81.6,11.95,Buyer
14-Mar,"Philadelphia, PA metro area",150000,1318,3019,8723,82,94.2,6.7,2.32,4.34,80,15.11,Equilibrium
14-Apr,"Philadelphia, PA metro area",150000,1524,3492,9150,64,94.6,6.2,2.29,4.34,84.1,16.66,Equilibrium
14-May,"Philadelphia, PA metro area",165000,1830,3203,9526,41,95.3,6.3,2.17,4.19,81.9,19.21,Equilibrium
14-Jun,"Philadelphia, PA metro area",175000,2068,2872,10072,34,95.6,6.1,2.15,4.16,82.5,20.53,Seller
14-Jul,"Philadelphia, PA metro area",170000,1928,2674,10414,35,95.3,6.2,2.04,4.13,81.8,18.51,Equilibrium
14-Aug,"Philadelphia, PA metro area",172000,1828,2372,10318,44,95.3,6.1,1.95,4.12,82.5,17.72,Equilibrium
14-Sep,"Philadelphia, PA metro area",150000,1638,2727,10528,53,94.7,5.9,1.97,4.16,84.6,15.56,Equilibrium
14-Oct,"Philadelphia, PA metro area",150000,1704,2567,10412,59,94.7,5.7,1.86,4.04,86.9,16.37,Equilibrium
14-Nov,"Philadelphia, PA metro area",152000,1446,1776,9904,55,94.7,5.8,1.8,4,88.8,14.6,Buyer
14-Dec,"Philadelphia, PA metro area",150000,1736,1471,8936,67,94.9,5.6,1.57,3.86,93.6,19.43,Equilibrium
15-Jan,"Philadelphia, PA metro area",145000,1243,2097,8869,72,94.7,5.7,1.33,3.67,98.1,14.02,Buyer
15-Feb,"Philadelphia, PA metro area",135000,1240,2231,8886,81,94.5,5.5,1.36,3.71,95.4,13.95,Buyer
15-Mar,"Philadelphia, PA metro area",153000,1554,3077,9292,83,94.6,5.4,1.4,3.77,93,16.72,Equilibrium
15-Apr,"Philadelphia, PA metro area",160000,1783,3529,9846,67,95.1,5.4,1.4,3.67,95.9,18.11,Equilibrium
15-May,"Philadelphia, PA metro area",169000,1974,3230,10090,45,95.8,5.6,1.59,3.84,90.7,19.56,Equilibrium
15-Jun,"Philadelphia, PA metro area",189000,2498,3001,10119,40,96,5.3,1.68,3.98,96.1,24.69,Seller
15-Jul,"Philadelphia, PA metro area",180000,2296,2714,10032,44,95.9,5.2,1.66,4.05,93.1,22.89,Seller
15-Aug,"Philadelphia, PA metro area",173000,1982,2555,9870,50,95.9,5.1,1.47,3.91,91.9,20.08,Seller
15-Sep,"Philadelphia, PA metro area",159000,1782,2600,9923,56,95.4,5,1.46,3.89,87.2,17.96,Equilibrium
15-Oct,"Philadelphia, PA metro area",164000,1908,2508,9698,60,95.1,5,1.43,3.8,90,19.67,Equilibrium
15-Nov,"Philadelphia, PA metro area",150000,1497,2151,9290,55,95.1,5.1,1.38,3.94,91.3,16.11,Equilibrium
15-Dec,"Philadelphia, PA metro area",160000,1937,1567,8360,58,95.2,5,1.26,3.96,92.6,23.17,Seller
16-Jan,"Philadelphia, PA metro area",153000,1480,2082,8248,69,95,4.8,1.19,3.87,92,17.94,Equilibrium
16-Feb,"Philadelphia, PA metro area",148000,1464,2545,8353,71,94.8,4.9,1.05,3.66,91.7,17.53,Equilibrium
16-Mar,"Philadelphia, PA metro area",161000,1767,3451,8791,69,95.4,5,1.01,3.69,91,20.1,Seller
16-Apr,"Philadelphia, PA metro area",171000,2007,3238,8760,52,96.2,5.1,1.04,3.61,89,22.91,Seller
16-May,"Philadelphia, PA metro area",190000,2272,3092,8713,41,96.3,4.8,0.99,3.6,94.7,26.08,Seller
16-Jun,"Philadelphia, PA metro area",195000,2869,2954,8691,40,97,4.9,0.91,3.57,93.5,33.01,Seller
16-Jul,"Philadelphia, PA metro area",185000,2289,2480,8641,36,96.6,4.8,0.83,3.44,90,26.49,Seller
16-Aug,"Philadelphia, PA metro area",181000,2371,2537,8142,44,96.6,4.9,0.82,3.44,89.8,29.12,Seller
16-Sep,"Philadelphia, PA metro area",172000,2035,2642,8290,48,96.4,5,0.86,3.46,91.2,24.55,Seller
16-Oct,"Philadelphia, PA metro area",169000,1879,2504,8252,48,96.2,4.9,0.92,3.47,87.2,22.77,Seller
16-Nov,"Philadelphia, PA metro area",172000,1893,1971,7778,49,95.8,4.7,1.16,3.77,93.8,24.34,Seller
16-Dec,"Philadelphia, PA metro area",176000,2019,1520,6943,48,96,4.7,1.3,4.2,98.2,29.08,Seller
17-Jan,"Philadelphia, PA metro area",172000,1501,2299,6923,62,95.9,4.7,1.23,4.15,98.5,21.68,Seller
17-Feb,"Philadelphia, PA metro area",161000,1512,2663,7224,60,95.6,4.6,1.22,4.17,96.3,20.93,Seller
17-Mar,"Philadelphia, PA metro area",175000,2074,3377,7491,52,96,4.4,1.17,4.2,96.9,27.69,Seller
17-Apr,"Philadelphia, PA metro area",190000,2089,3256,7809,42,96.6,4.4,1.06,4.05,97,26.75,Seller
17-May,"Philadelphia, PA metro area",200000,2578,3244,7800,35,97.2,4.4,1,4.01,97.1,33.05,Seller
17-Jun,"Philadelphia, PA metro area",213000,3005,3068,7855,34,97.2,4.3,0.84,3.9,95,38.26,Seller
17-Jul,"Philadelphia, PA metro area",205000,2390,2649,7745,35,97.4,4.3,0.95,3.97,93.4,30.86,Seller
17-Aug,"Philadelphia, PA metro area",190000,2462,2719,7591,38,96.9,4.4,0.87,3.88,96.8,32.43,Seller
17-Sep,"Philadelphia, PA metro area",185000,2078,2698,7704,41,96.8,4.3,0.82,3.81,95.1,26.97,Seller
17-Oct,"Philadelphia, PA metro area",187000,2053,2556,7627,43,96.6,4.2,0.81,3.9,100.7,26.92,Seller
17-Nov,"Philadelphia, PA metro area",185000,2078,2006,7162,54,96.2,4.2,0.66,3.92,98.5,29.01,Seller
17-Dec,"Philadelphia, PA metro area",190000,2078,1411,6231,57,96.3,4.1,0.56,3.95,95.9,33.35,Seller
18-Jan,"Philadelphia, PA metro area",184000,1645,2086,5957,63,96.1,4,0.55,4.03,95.7,27.61,Seller
18-Feb,"Philadelphia, PA metro area",175000,1359,2514,6302,67,96.2,4.1,0.68,4.33,99.7,21.56,Seller
18-Mar,"Philadelphia, PA metro area",197000,1934,2942,6024,52,96.6,4,0.57,4.44,101.4,32.1,Seller
18-Apr,"Philadelphia, PA metro area",204000,2206,3355,6129,35,97.4,4,0.48,4.47,98.8,35.99,Seller
18-May,"Philadelphia, PA metro area",210000,2595,3352,6300,31,97.5,3.8,0.47,4.59,98,41.19,Seller
18-Jun,"Philadelphia, PA metro area",215000,2916,3022,6251,29,97.8,4,0.38,4.57,98.2,46.65,Seller
18-Jul,"Philadelphia, PA metro area",208000,2476,2719,6263,29,97.5,3.8,0.28,4.53,97.9,39.53,Seller
18-Aug,"Philadelphia, PA metro area",209000,2477,2698,6238,31,97.5,3.8,0.25,4.55,96.2,39.71,Seller
18-Sep,"Philadelphia, PA metro area",200000,1922,2642,6423,34,97.2,3.7,0.24,4.63,100.1,29.92,Seller
18-Oct,"Philadelphia, PA metro area",196000,2053,2759,6506,32,96.9,3.8,0.29,4.83,98.6,31.56,Seller
18-Nov,"Philadelphia, PA metro area",195000,2038,2013,6162,35,96.5,3.8,0.26,4.87,97.5,33.07,Seller
18-Dec,"Philadelphia, PA metro area",189000,1863,1378,5487,38,96.4,3.9,0.16,4.64,98.3,33.95,Seller
19-Jan,"Philadelphia, PA metro area",185000,1405,2223,5742,48,96.5,4,0.17,4.46,91.2,24.47,Seller
19-Feb,"Philadelphia, PA metro area",185000,1362,2367,5987,53,96,3.8,0.17,4.37,93.8,22.75,Seller
19-Mar,"Philadelphia, PA metro area",200000,1801,3109,6425,50,96.6,3.8,0.16,4.27,98.4,28.03,Seller
19-Apr,"Philadelphia, PA metro area",210000,2141,3386,6738,41,97.3,3.7,0.19,4.14,97.2,31.78,Seller
19-May,"Philadelphia, PA metro area",218000,2578,3426,7086,37,97.3,3.6,0.19,4.07,100,36.38,Seller
19-Jun,"Philadelphia, PA metro area",235000,2525,2927,7116,38,97.7,3.6,0.26,3.8,98.2,35.48,Seller
19-Jul,"Philadelphia, PA metro area",225000,2434,2714,6774,39,97.4,3.7,0.22,3.77,98.4,35.93,Seller
19-Aug,"Philadelphia, PA metro area",222000,2305,2565,6556,39,97,3.6,0.06,3.62,89.8,35.16,Seller
19-Sep,"Philadelphia, PA metro area",200000,2017,2871,6865,38,96.7,3.5,0.05,3.61,93.2,29.38,Seller
19-Oct,"Philadelphia, PA metro area",200000,1988,2778,6944,38,96.9,3.6,0.16,3.69,95.5,28.63,Seller
19-Nov,"Philadelphia, PA metro area",216000,1884,2033,6456,41,96.7,3.6,0.2,3.7,96.8,29.18,Seller
19-Dec,"Philadelphia, PA metro area",210000,2097,1368,5478,43,96.2,3.6,0.25,3.72,99.3,38.28,Seller
20-Jan,"Philadelphia, PA metro area",208000,1681,2257,5457,54,96.4,3.6,0.24,3.62,99.8,30.8,Seller
20-Feb,"Philadelphia, PA metro area",215000,1578,2575,5734,58,96.3,3.5,0.17,3.47,101,27.52,Seller
20-Mar,"Philadelphia, PA metro area",235000,1808,2498,5719,45,97,4.4,0.42,3.45,89.1,31.61,Seller
20-Apr,"Philadelphia, PA metro area",246000,1491,1009,5307,39,97.8,14.8,0.43,3.31,71.8,28.09,Seller
20-May,"Philadelphia, PA metro area",234000,1112,2225,5806,42,96.8,13.2,0.5,3.23,72.3,19.15,Equilibrium
20-Jun,"Philadelphia, PA metro area",250000,1556,3121,6068,46,97.3,11,0.54,3.16,78.1,25.64,Seller
20-Jul,"Philadelphia, PA metro area",246000,2522,3279,6076,40,98,10.2,0.48,3.02,72.5,41.51,Seller
20-Aug,"Philadelphia, PA metro area",245000,2542,3140,6111,35,98.4,8.4,0.51,2.94,74.1,41.6,Seller
20-Sep,"Philadelphia, PA metro area",243000,2506,3173,6287,33,98.1,7.8,0.54,2.89,80.4,39.86,Seller
20-Oct,"Philadelphia, PA metro area",237000,2555,3177,6306,34,98.3,6.8,0.64,2.83,81.8,40.52,Seller
20-Nov,"Philadelphia, PA metro area",245000,2291,2336,5943,33,98.5,6.7,0.7,2.77,76.9,38.55,Seller
20-Dec,"Philadelphia, PA metro area",240000,2395,1681,5017,35,98.1,6.7,0.8,2.68,80.7,47.74,Seller
21-Jan,"Philadelphia, PA metro area",235000,1876,2231,4871,40,97.8,6.4,0.95,2.74,79,38.51,Seller
21-Feb,"Philadelphia, PA metro area",237000,1733,2124,4665,42,97.7,6.2,1.14,2.81,76.8,37.15,Seller
21-Mar,"Philadelphia, PA metro area",258000,2265,3311,4881,39,98.5,6.1,1.46,3.08,84.9,46.4,Seller
21-Apr,"Philadelphia, PA metro area",265000,2508,3618,5229,32,99.1,6.1,1.47,3.06,88.3,47.96,Seller
21-May,"Philadelphia, PA metro area",268000,2531,3358,5376,27,99.8,5.8,1.47,2.96,82.9,47.08,Seller
21-Jun,"Philadelphia, PA metro area",280000,3132,3434,5604,25,100,5.9,1.32,2.98,85.5,55.89,Seller
